,logFC,pvalue,FDR
SNRPB2,-2.19750010454447,0.012598243057857,0.131083098514015
MTND4P12,-1.70603872998807,0.0126062659976651,0.131083098514015
H2AFZP2,-5.42146829276026,0.0127096287350994,0.132061565049254
P2RX7,2.91475547631961,0.0127220195831318,0.132094035817281
HACD3,-1.76480378981717,0.0127684705742653,0.132436234104596
HMGB3P6,-6.62715661259895,0.0127735565301501,0.132436234104596
EIF3A,-0.896020222502007,0.0128139203650066,0.132758174944429
ANXA2,1.49489754874549,0.0129090291182953,0.13358253480866
ZMAT1,-2.15978794062243,0.0129122287434297,0.13358253480866
MT-CO1,-1.02836353416072,0.0129653289498373,0.134034611681566
TALDO1,-1.82107406014761,0.0130378349235551,0.134686503384204
TRAF4,-7.09445901556028,0.0130568019311772,0.134741451821421
PFN1,-1.66513425269533,0.0130620571280305,0.134741451821421
PAQR3,-3.89045366356742,0.0130941438333331,0.134894921886326
C6orf226,-2.65769295153377,0.0130958594199407,0.134894921886326
ADA,-6.94138636817903,0.0131781978422995,0.135645045804925
AL592183.1,-1.76688460036513,0.0132058196647443,0.135831287980227
UBA52P7,-5.57716654241068,0.013268658280604,0.136379230315999
NDUFA3,-1.08861468408376,0.0132989931920052,0.136410267835586
AC245052.3,7.12876252452137,0.0132992672761544,0.136410267835586
H2AFZP3,-6.70031561191054,0.0133095384096249,0.136410267835586
EIF4A2,-0.926838517762361,0.0133099524803101,0.136410267835586
UBBP4,-1.53495488112527,0.0133586445462606,0.136761517380536
DOC2GP,5.72615847766529,0.0133634114556037,0.136761517380536
RPS13,-1.76454743526595,0.0133847378307441,0.136881508260465
SLC66A3,2.82963571032309,0.0134112124414389,0.137053938756383
PPA1,-1.55521685167634,0.0135177299356931,0.138043522896304
AC005912.1,-1.164760912677,0.0135458330677338,0.138213149112837
FZD6,-5.6007441145976,0.0135537305316882,0.138213149112837
PTPN1,1.87505942389539,0.013589209171601,0.138475887026693
FAM214B,-6.00156026624606,0.0136084816118082,0.138573224184241
OCIAD2,-2.24084653783226,0.0136236428831965,0.138628588824304
HJURP,-7.68798538504309,0.0136365558530352,0.138661013010607
CLCN7,-2.72721352092591,0.0136734410614757,0.138872027710015
REPIN1,-2.27044486355577,0.0136767906078045,0.138872027710015
NPIPP1,-1.98057592164439,0.013696976912892,0.138978009160276
PDCD6IPP2,-3.66062000939117,0.0137177869210872,0.13909016383145
LTB4R,3.80673885672575,0.0137489716007485,0.139232386904676
AC093809.1,-3.29214752262209,0.0137592083752948,0.139232386904676
FBXO44,3.1137730861052,0.0137611134363558,0.139232386904676
CNOT2,-1.45478157466722,0.0138000884736716,0.139324390975491
IDH3A,-4.18191574444802,0.0138011225162649,0.139324390975491
HNRNPA3,-1.99410778222075,0.0138043661204074,0.139324390975491
C12orf45,-2.12105204582744,0.0138108776960653,0.139324390975491
VAPA,-1.26681210459447,0.0138190718882817,0.139324390975491
ZMYM3,-2.59307865082109,0.0138821228638977,0.139751768445801
YWHAE,-3.0430379112083,0.013882312770827,0.139751768445801
RPS26P8,-1.34096861267201,0.0138908709236603,0.139751768445801
AC020659.1,3.74030595148775,0.0139154536071994,0.139900357280842
MCM7,-2.82266009441376,0.0139264662440206,0.139912405056207
MPHOSPH9,-1.83082804612013,0.0139527294169595,0.140072540860423
TAB3,-2.83206022352825,0.0139620567173584,0.140072540860423
SAFB2,-1.41324376238579,0.013984543544205,0.140199474519118
HM13,1.58285663887977,0.0140460468796856,0.140717107741952
SQOR,2.96594759387652,0.0140844336426212,0.140752529690639
CMTR1,-2.14785244869833,0.0140854876636872,0.140752529690639
RPL37P2,-1.499711774531,0.0140892396596904,0.140752529690639
CDKN2C,-3.98077722841393,0.0141016263444853,0.140752529690639
LYRM7,-2.86092405718332,0.0141062585587518,0.140752529690639
EIF4A3,-7.5393359196973,0.0141110335576619,0.140752529690639
FAM222B,-2.60409164320965,0.0141332989037523,0.140752529690639
LINC01128,-3.7337638054376,0.0141356285795373,0.140752529690639
RTL6,-1.99066823324679,0.0141462587408386,0.140752529690639
SCCPDH,-3.37723470169679,0.0141509091369642,0.140752529690639
ALKBH3,3.86192461812416,0.0141581879613059,0.140752529690639
AL080317.2,4.83065872609811,0.0142285159327882,0.141124950308836
AC090114.2,-2.27292658075578,0.0142287887200455,0.141124950308836
NAB2,-3.27237823923229,0.0142357946926295,0.141124950308836
XRCC6P5,-6.22519891596477,0.0142383994389347,0.141124950308836
TRIM33,-1.11775633540942,0.0142451461485982,0.141124950308836
EIF3M,-1.63748038646977,0.0142651544995512,0.141225029545557
RPS15AP25,-4.12827484322727,0.0143025112413947,0.141496599762195
ERCC3,-2.26328543519728,0.0143239391270457,0.141545507795618
COX7C,-1.38038011605824,0.0143346629814574,0.141545507795618
MPZL1,-3.25625074449681,0.0143372413900724,0.141545507795618
BEND3,-6.66764918196666,0.0143575012714248,0.141561222951955
TMEM44,-7.06924588942756,0.014368882836945,0.141561222951955
AC055839.2,-5.65856882575817,0.014375714293114,0.141561222951955
GM2A,-3.99545131038553,0.0143785529485432,0.141561222951955
HELLS,-5.65527179424582,0.0143905911420625,0.141581965025013
AC087385.2,-2.21325424191297,0.0144216428751744,0.141708465438132
CSKMT,-2.94978105511436,0.0144233293596191,0.141708465438132
PCCB,-2.93256693153021,0.0144475475376659,0.141725798097968
RPS29,-1.16634399471551,0.0144512014786262,0.141725798097968
ZNF320,-2.43787392124249,0.0144549179597675,0.141725798097968
ANKRD44,4.77077871434468,0.0144860939786959,0.141933852756213
RPL35AP21,-1.40895039111561,0.0145225684827481,0.142193500199215
SNX29,-2.80841759357711,0.0145447150421567,0.142312599616325
MT-ND2,-1.7882834462003,0.0145901546345947,0.142630236570581
PDCD2,-1.60671363102129,0.0146008494156666,0.142630236570581
RPL31P7,-9.00293878591273,0.0146155099023091,0.142630236570581
PLEKHO2,4.03090803988596,0.0146175986954162,0.142630236570581
RPS25,-1.27521478814651,0.0146272029928584,0.142630236570581
AC008105.1,-4.3570861571119,0.0146392391175822,0.142636930176114
BCL11A,-3.57906744725126,0.014647900236941,0.142636930176114
HNRNPAB,-3.42621285675633,0.0146785204505466,0.142837534159039
DUT,-3.52308932558168,0.0146981844336428,0.142931321477498
CHCHD2P2,-3.45221953584154,0.0147117963677027,0.142966168383074
RIOX2,3.48604484998337,0.0147552803063266,0.143291059977515
ZNF275,-2.53037980532838,0.0147826522506875,0.143447827374155
PSMC5,-1.47247029223071,0.0147915478563417,0.143447827374155
CNBP,0.965420078506299,0.0148376061830684,0.143796678277242
RAD51AP1,-5.24292726624814,0.0148563836621539,0.143880846119338
RWDD1,-1.14891513301371,0.0149103559898415,0.144257602324687
PNKD,-2.04686871630311,0.0149155236971513,0.144257602324687
ZNF713,-6.4803337261506,0.0149328703607141,0.14432745753379
AP000936.3,-1.0266680361707,0.0149619224332151,0.144467545516332
AC004069.1,-3.47572008102446,0.0149676322059219,0.144467545516332
IFT140,-3.95166138113606,0.0149922345822037,0.144607101626452
AL662795.2,-1.89660500692923,0.0150427769114623,0.144996502805819
AC095038.3,-2.47304835968172,0.0150559241276834,0.14502517186774
HMGN1,-2.05132875986348,0.0151267215245279,0.145447259299891
AC044787.1,-1.32249627280039,0.015127768997671,0.145447259299891
MARF1,-2.06426843953527,0.0151303511182477,0.145447259299891
RNF185,-3.39328916762738,0.015174915908315,0.145777359291738
SNRPC,-1.19760416168956,0.0152297714116086,0.146205805551443
AL591846.1,-2.08158481252439,0.015247607296995,0.146255153921098
PGPEP1,-1.78636490202574,0.0152554302666016,0.146255153921098
HMGB1P5,-2.70728423941389,0.0152733958100023,0.146328985663571
RPS23,-1.42594692259245,0.0152929600647479,0.146418024636028
AC008555.1,-5.46139163135526,0.0153129335975307,0.146510859977448
RPS24,-1.32004540559907,0.0153514614202255,0.146780975188957
FOXN2,2.91249026581027,0.0154113341305988,0.147254677859126
FAM98A,-2.74145464680776,0.0154307749591686,0.147323424444726
CNIH1,-1.81826824527476,0.0154391972587276,0.147323424444726
RORB,-3.8726619224498,0.0154609768248127,0.147432565628448
NACAP8,-1.97772416203711,0.0154794907792567,0.147510441543505
FECH,-3.66453523242859,0.0155211569724466,0.147808693252638
TXNIP,2.15138257825952,0.0155363659734451,0.147854761894148
CTPS1,-2.74632287749371,0.015566692939153,0.147905338458167
DMTN,7.81588027169585,0.0155697460192592,0.147905338458167
AC104843.2,-2.54587447150788,0.0155728053469212,0.147905338458167
AC092953.1,-4.2891201778508,0.0155945182413463,0.148012950764735
CPSF4,-2.56889030383666,0.0156122663190218,0.148082813469045
MED31,-3.03584127419139,0.0156770205013798,0.148598141135419
FDPS,-1.37186439212758,0.0156985961084882,0.148671040855987
SIAE,-4.88348021237847,0.0157055687099549,0.148671040855987
SRSF6,-1.85257697936977,0.0157281019743506,0.148785548604076
SV2A,-4.19022324593539,0.0157562187964956,0.148952689100027
DCUN1D5,-2.93466438245706,0.0157843137755883,0.149056675017746
UHRF1,-12.1800890727494,0.0157902617896282,0.149056675017746
SYNJ2BP,-1.8657087042174,0.0157985855746222,0.149056675017746
PSMC1P1,-2.63104042298334,0.0158359072604154,0.149309982741059
SNRPEP3,-6.42322564244349,0.0158538475486761,0.149380337510857
COP1,-2.79325814989904,0.0159395466398846,0.15008862410713
AEN,4.39480831355377,0.0159729743214541,0.150304106882277
STRBP,-1.70072544831235,0.0159862947305333,0.150330222743062
FBXL19,-3.64498604928255,0.0160350032901333,0.150555564106946
CIAPIN1,-2.99970129267041,0.0160459307421701,0.150555564106946
CHTOP,-1.71143379492002,0.016050371498287,0.150555564106946
PRAF2,-2.02510407443451,0.0160549215535907,0.150555564106946
DCAF13,-2.04423482096573,0.0160630620795921,0.150555564106946
CIRBP,-0.904865665486791,0.0161105101985958,0.150855035275937
SLAMF7,13.559382281503,0.016116176958842,0.150855035275937
OXLD1,2.30792861112692,0.016193433575124,0.151478732970452
AC092278.1,-6.40210619562773,0.0162045352486871,0.151483183282153
ABCB7,-2.69091926354748,0.0162860296686457,0.152145241779956
HEBP2,-1.87702268948639,0.016319515409089,0.152358226373264
MTMR12,7.30716662348265,0.016353765781993,0.152578066091683
GAPDHP40,-2.74608027283528,0.0163746577837733,0.15267306825734
AC006453.2,-4.35363225467035,0.0164140621615084,0.152940438022526
DNAJC19,-1.97122448322275,0.0164469607867732,0.153146879801593
CCDC77,-3.09076568068636,0.0164666831394444,0.15323044049342
GSN,-5.40038705681962,0.0164872146989937,0.153321417318235
SPOPL,5.5297150738625,0.0165801890640954,0.154085511928125
RPL26P6,-1.12002938120693,0.0166009823955948,0.15417824432026
AC138969.1,-1.55747602079434,0.0166175703834299,0.154231825121209
LMNB1,-4.96863792245878,0.0166466866926058,0.154390186865607
C20orf194,-2.95155732603458,0.016656292606573,0.154390186865607
MTMR3,-2.73347735077281,0.0167465361233694,0.155125808300685
RPL37P1,-3.5931616658024,0.0168081941274627,0.155595854208512
TPI1P2,-4.66852558692327,0.0168488391808278,0.155805949469555
LINC01399,-3.00072370462657,0.0168527479013786,0.155805949469555
AC104978.1,-1.49063630661412,0.0168768061921517,0.155927251507009
TSR1,-2.36506904868807,0.0169104357993436,0.156136769919328
SNRPD1,-3.38235231746793,0.0169530279984852,0.156418715981018
HDAC2,-1.31679581463323,0.0169629163093893,0.156418715981018
MTCO2P12,-1.36435107121898,0.0170158324599087,0.156805240819947
AC005000.1,-2.61053886943743,0.0170485929747934,0.157005646930656
PLRG1,-2.60870798379316,0.017073686746614,0.157135234512414
TMPO,-1.83531563023147,0.0170951916272265,0.15723164634693
NR4A1,-4.78306339309153,0.017124536747023,0.157399997334339
DNAJC19P9,-2.767775108741,0.0171507411341429,0.157442220763496
RAI1,-2.03609121545332,0.0171512183533746,0.157442220763496
NRDE2,-1.62701567682305,0.0171663153684651,0.157479402762445
MTND6P3,-2.99268062846804,0.0172869275153306,0.158481423844676
MED13L,6.2756285356978,0.0172977760593656,0.158481423844676
MICOS10P3,-3.03613616708588,0.0173262001565053,0.158639890450315
EIF5A,-1.53803615545163,0.017382103366664,0.159014531108668
PDS5B,-2.15793788405734,0.0173940351483838,0.159014531108668
RPL10P9,-0.993540075939635,0.0174017598452729,0.159014531108668
AC005899.5,-6.03927978773295,0.0174126057254661,0.159014531108668
PADI4,-3.72212192797789,0.0174228884393757,0.159014531108668
NKD2,-12.4109290180918,0.017527600764165,0.159835086447082
CNPY2,-1.37121009227865,0.0175352185187455,0.159835086447082
SLC25A5P1,-4.63281984813052,0.01759202600541,0.160250429861422
RPL12P1,-3.02980733326934,0.0176062644153576,0.160277717436359
RNF114,-1.73626039002789,0.0176323377282206,0.160412639855464
UBA3,-1.830026188281,0.017674415027812,0.160637351534129
TBX21,5.73657262897684,0.0176795738325651,0.160637351534129
GZMH,6.61485150129884,0.0176955016274679,0.160679663185467
DIP2B,-2.59289411372226,0.0177553618871062,0.16112058501756
HS3ST3B1,-3.21747777523994,0.0178112473534745,0.16152489966357
ZNF22,-1.5552499128942,0.0178336574863991,0.161625315401211
PPIAP46,-1.99536476140555,0.0179258163208035,0.162265790696514
HMGXB4,-4.02148080094427,0.017927091775183,0.162265790696514
S100A9,3.78815623821932,0.0180663269529358,0.163422307767165
SNRPFP1,-3.52941091325222,0.0180969242191847,0.16359527689835
BDNF-AS,-3.80187580620329,0.018120567859824,0.163617611580035
RPS18P12,-2.51230815339448,0.0181223490940569,0.163617611580035
NCBP3,-1.69357156778729,0.0181404236192132,0.163677138680698
KCTD20,-1.39607058330279,0.0182629622149846,0.164609566472909
SNRPEP2,-3.02971969249506,0.0182668584568001,0.164609566472909
ZNF785,-3.04694167411528,0.0182904432009567,0.164696796966344
VDAC1,-2.61767203483037,0.0182996441073715,0.164696796966344
SNRNP48,-3.28540415434521,0.0183278178491146,0.164846291013866
CDYL2,-4.36904303226302,0.0183433048072483,0.164881559478015
EMILIN2,-5.53790246667102,0.0183880866494319,0.16517993905123
UBE2D2,-1.01948875106831,0.0184269652298139,0.16542494730241
CCT4,-1.18146082332569,0.0184533132010861,0.165486760593375
MTA3,-3.44414143635004,0.0184570671537224,0.165486760593375
TPR,-0.867379519637248,0.01847053690927,0.165503440715621
HDAC7,-2.18551797233552,0.0185143650447602,0.165791952310365
TXNP6,-2.70692090349257,0.0185681693408165,0.166169379863578
SLC9A1,3.0855571670691,0.0186277493906871,0.166597989531766
H1FX,-2.09618123144212,0.0186431267523872,0.166630981179957
PALD1,-5.8635356600676,0.0187515450259619,0.167480215823895
RPL14,-1.32673227096348,0.018761637533022,0.167480215823895
CCDC88B,6.25339515666708,0.0187855168289047,0.167535060154387
AC114801.3,-1.69496277859115,0.0188048234271501,0.167535060154387
AC136475.9,-4.12891736814912,0.0188125396005339,0.167535060154387
UTP20,-3.44644584550052,0.0188240673635266,0.167535060154387
RPS4XP11,-0.785594137276517,0.0188265408506824,0.167535060154387
PLEKHA5,-5.1904429581771,0.0188775229968647,0.167883947500501
ENTPD4,-2.12578829254099,0.0189310816094055,0.168255298892571
SSBP1,-1.15028420868877,0.018969030460802,0.168487537849965
BICRA,-2.98733653786665,0.0189949270802514,0.1686125033973
ATP10D,4.66466503683679,0.0190711754884297,0.16909235046976
BTBD11,-2.98465597476343,0.0190727061977676,0.16909235046976
ZEB1-AS1,-5.42451159782459,0.0190937503919577,0.169173713851926
METTL14,-2.23508645569444,0.0191884851970106,0.169907481346946
SIVA1,-2.09551912817235,0.01927461176463,0.170564162207675
AL355032.1,-1.58121591598167,0.019331400120993,0.170870985158558
PMS2P10,-2.62029588004474,0.0193332561069552,0.170870985158558
ARID1B,-0.885839518058379,0.0194134883568998,0.171417428014265
AC090543.1,6.26301727320625,0.0194191320316385,0.171417428014265
GYPC,-0.935544882885154,0.0194601262738554,0.171672995148566
SLC26A6,-5.18434185264461,0.0195501420970757,0.172360436447688
NBEA,-4.78464148636506,0.0195697460774816,0.172426637874276
SH3BGRL3,1.82409371136069,0.0196355930953744,0.172899947602012
HMGN2,-3.49998594238506,0.0196545836925066,0.172960336494058
NCF1C,-3.01427301027171,0.0196862888364586,0.17305501974917
DMXL2,-3.95326513658895,0.0196896213547386,0.17305501974917
PSMA2P3,-6.21023282503003,0.0197297610174377,0.173300969232651
BDH2,-2.62666396116554,0.019804904337395,0.173853889306591
CHKA,-4.766909621583,0.0198277205198598,0.173903568062315
P4HTM,-3.25915861026836,0.0198365629769852,0.173903568062315
CIB1,-1.23020659431762,0.0198487061567452,0.173903568062315
MDH1,-1.38325084549654,0.0198593580811903,0.173903568062315
MBD5,-1.29819834204015,0.0199580807970708,0.174639978259972
MICOS10P2,-1.77376198877973,0.0199679548655832,0.174639978259972
AL450998.1,-2.10977231034879,0.0199825468595968,0.174660446370577
NDUFB3,-2.58917334071015,0.0199954439049579,0.17466608352272
AC005229.4,-6.19590451622218,0.020016979499198,0.174747127826434
SLC39A11,6.39290461791561,0.0200770023444332,0.175127595687219
ST3GAL2,-2.13575640558423,0.0200851303976293,0.175127595687219
MIDN,-1.02719764335249,0.0201557367374965,0.175473207223005
ZBP1,6.35765587311881,0.0201574108093413,0.175473207223005
NR2C2,-1.94200574459209,0.0201616942642594,0.175473207223005
SRGAP3,-2.85623443276063,0.0201934394884953,0.175642265618053
AC034236.1,-1.36136471471153,0.0202303459731871,0.175808752685954
RPL37A,-1.41621562035521,0.0202372448904076,0.175808752685954
RPL6P27,-1.79494751708612,0.0202542666216508,0.175849467087852
RPS14,-1.18638564032312,0.02029064247102,0.176010831187612
HNRNPH1,-1.84150568852234,0.0202975453473929,0.176010831187612
AC090204.1,-3.37863162800075,0.0203128955602296,0.176023697948403
MMP23B,6.12666346853084,0.0203319116406288,0.176023697948403
RPL27A,-1.14605116852945,0.0203360711644935,0.176023697948403
WAC-AS1,-1.41744846959053,0.0204089672974705,0.176511543386229
SNHG4,-3.78141521319374,0.0204171952191282,0.176511543386229
AC006333.2,-6.35870122410404,0.0204324519499249,0.176536384847351
NANOS3,-6.65420542981482,0.0204870794998278,0.176901154057871
ZCCHC4,5.33969438959178,0.0205685436585881,0.177497069247477
COX6B1,-2.04787287423846,0.0206130937748945,0.177773904933391
CCZ1,-1.43278792236072,0.0206609574676948,0.178078965936794
USP10,-1.94074183819109,0.0207444391297836,0.178690467815224
MTRNR2L4,-2.56895739122193,0.0207631831153269,0.178743924210205
ZNF445,-2.26794800058494,0.0207853554443664,0.178826811837591
AC020658.1,-3.44529564898798,0.0208420313852953,0.179159496236382
RPL3P7,-1.19071848389635,0.0208491585477103,0.179159496236382
RPL21P39,-1.03983804384629,0.0209016865191461,0.179386557054646
GLRX3P2,-3.25372617751749,0.0209161492059854,0.179386557054646
GIMAP7,1.8500946008285,0.0209176588465623,0.179386557054646
RIPOR2,4.26668171478045,0.020925915009952,0.179386557054646
SIL1,-5.02290147934972,0.0209543844636206,0.17952265920275
HDHD5,-2.73796093582531,0.0210559904717242,0.180284804903844
CDKN2B-AS1,-1.76848012997595,0.0210742929977706,0.180333205868078
VRK2,6.61475386501768,0.0211307752570208,0.180438886414512
5_8S_rRNA_ENSG00000273730.1,3.03002850960091,0.0211349927004438,0.180438886414512
PRDM15,-4.85375940854462,0.0211431167853228,0.180438886414512
CTBP1-DT,-2.25467879991709,0.0211699349749573,0.180438886414512
PSME1,1.09659227941561,0.0212002034889491,0.180438886414512
HSDL2,-2.61183923533642,0.0212006689302462,0.180438886414512
AC008982.2,2.93904724511569,0.0212009507447755,0.180438886414512
PCBP1-AS1,-2.01699713684933,0.0212014861829571,0.180438886414512
PGK1,-3.28693518150244,0.0212338534766643,0.180438886414512
RPS15AP29,-1.57045258241842,0.021240730638571,0.180438886414512
CEP57,-1.55654158255017,0.0212431446956566,0.180438886414512
GLS,1.51725632342789,0.0212479928495374,0.180438886414512
MFSD3,-5.47692188652205,0.0212629405010072,0.180438886414512
BMS1,-2.2056526983746,0.0212638418333599,0.180438886414512
RFX8,-3.68365372120112,0.0212964782128007,0.180569222992425
ASPM,-5.47543947093697,0.0213045337453184,0.180569222992425
OIP5-AS1,-1.25806495391178,0.0213368625729131,0.180648877198962
AKAP17A,-1.58536991336989,0.0213392753369144,0.180648877198962
GMPS,-1.95389361598409,0.0213608938737413,0.180724571551368
POC5,-3.25381941687258,0.0213877328552299,0.180844317665574
AL356585.4,-3.32749124005207,0.0214671240858655,0.181375380552882
MARS2,-3.453733348781,0.021476190417718,0.181375380552882
AP2S1,-2.24812637542421,0.0214887077548974,0.181375380552882
CERS2,-2.88372498928158,0.0215177967504808,0.181513438150802
POLR2J3_ENSG00000285437.1,-0.934538169372687,0.0215405719422646,0.181519350663875
USP36,1.51947397046392,0.021543963336369,0.181519350663875
MT-ND6,-1.03679965161285,0.0215982973486875,0.18186965564258
SELENOWP1,-4.22802946274299,0.0216514776318676,0.182073939663123
COPS4,-2.12577065285355,0.0216597969934222,0.182073939663123
HMGN2P4,-5.60315084660009,0.0216608727320887,0.182073939663123
LIPA,2.79747059690847,0.0217246924506551,0.182408765344454
FBRS,-1.48787902464404,0.0217262965456567,0.182408765344454
TMSB4XP4,-1.35963523221381,0.0217461659375793,0.182412948795744
NORAD,-1.51923146617517,0.0217523858693017,0.182412948795744
RPL35P1,-2.48754591396123,0.0218113895414571,0.182708190499403
ENO1,-0.829300805955516,0.0218185643900937,0.182708190499403
ABHD17AP4,3.98662788915238,0.0218260415558701,0.182708190499403
AC009220.1,-1.16621666950796,0.021908912468793,0.18329428178117
MDH2,-2.05146167222949,0.0219331467351032,0.183370668948804
EIF5AL1,-1.86501560383683,0.02194376832398,0.183370668948804
MRPL45P2,-2.71446833046656,0.0219864759299091,0.183619918486693
EID1,-1.04508437838958,0.0220050003062415,0.183667028317201
CMTM7,-1.85251637773293,0.0221182462687717,0.18450422399509
PPP1R12A,0.909327662353937,0.0221730069117988,0.184769504311184
HNRNPA1P54,-3.41181981432287,0.0221759695480104,0.184769504311184
CSNK1G1,-2.58272571244468,0.0221982013533263,0.184846704727231
RASSF5,4.43401758124395,0.0222265108025219,0.184974394629745
STARD9,3.33009163360198,0.0222452829062754,0.185022609750211
WARS2-AS1,6.27641256275084,0.0222818737809065,0.185210275240134
LPP,-1.47831172525169,0.0222938294270532,0.185210275240134
GTF2H2,-1.18308106297211,0.0223425515891768,0.185299260281509
HSBP1,-1.84359252044911,0.0223431490599595,0.185299260281509
SLC25A1,-2.96243484774072,0.0223435345415204,0.185299260281509
SMARCD1,-1.70504693171426,0.0223910583729806,0.185585423351867
KMT2C,-1.46143458175517,0.0224125090176784,0.185649002832605
FAM118B,-4.42025898580366,0.0224247743320529,0.185649002832605
COX17P1,-7.71415631077368,0.0224663433739568,0.185742254713975
AC095057.3,-3.63400827916494,0.0224689838519896,0.185742254713975
AC024940.2,-5.55081357322719,0.0224938649627894,0.185742254713975
MEF2D,-1.52700432243008,0.0225029248420818,0.185742254713975
AF165147.1,4.82437723760978,0.0225112232838083,0.185742254713975
GOLGA8G,-4.90044697023358,0.022514212692603,0.185742254713975
PPP2R5D,-2.1571189918201,0.0225395283060214,0.185742403020607
CATSPERB,3.5018171481596,0.0225453515347862,0.185742403020607
GNS,2.96785496504945,0.0225533178751873,0.185742403020607
FBXL5,-2.62040762985608,0.0225853578654078,0.185898880906036
AC005332.6,-2.69970341789475,0.0226749894490431,0.18652893801821
CTC1,9.64736770218487,0.022702210245401,0.186645161048695
RPS26P35,-5.05771209953348,0.0227215575546645,0.18665009746739
C1QBP,-5.44980571790908,0.0227289961562422,0.18665009746739
SNX2,-1.98140933932279,0.0228031512706933,0.18715125187968
NPM1P39,-2.39075011603229,0.0228789570585846,0.187472588307253
ATP13A2,2.88997257266771,0.0228943772736306,0.187472588307253
RTP5,-4.0679451980871,0.0229242914930352,0.187472588307253
MAN2B1,4.41861214894747,0.0229336342662289,0.187472588307253
KDM1A,-3.73914207407203,0.0229385942870259,0.187472588307253
NPIPB1P,-5.77760012355858,0.0229623147780006,0.187472588307253
RPS18P6,-2.02394945805524,0.0229666557730683,0.187472588307253
RNA5-8SN3,4.22405143100312,0.0229693951175591,0.187472588307253
BTF3P9,-1.86636683115904,0.0229696645356957,0.187472588307253
UPF3AP3,3.71348405228633,0.0229738083454525,0.187472588307253
LINC00869,2.09543145604751,0.0229944992110027,0.187505245017542
GLCE,-4.07548012789957,0.0230109561999272,0.187505245017542
ENG,-3.32142467963869,0.0230172684329896,0.187505245017542
TP53BP1,-2.36494264272074,0.0230394007689114,0.18757835371879
CLP1,-4.46283210120193,0.0230802329603584,0.187803539430862
FASN,-2.88538203746222,0.0231015771212016,0.187828990637695
FBXO25,-1.79168528144747,0.0231097116707714,0.187828990637695
RAP1GAP2,3.1165099327561,0.0231492772757735,0.188043360024745
WDR13,-2.69984211165935,0.0231888938712029,0.188257899218604
AC092865.1,-1.81093710175713,0.0232132683568775,0.188348522308279
ALOX5AP,-1.07076246970994,0.0233738806109243,0.189448086974373
CDK18,-6.8905466658583,0.023386241356424,0.189448086974373
TCF4,-4.16852282322791,0.0233905653518904,0.189448086974373
NONO,-2.6074800580871,0.0234237875821769,0.189448086974373
DGUOK,-1.50337897931944,0.0234278612826945,0.189448086974373
TMEM64,4.31534284279254,0.0234285197345553,0.189448086974373
SLC16A1,-9.31463738883193,0.0234491795126555,0.189507654836971
UBE2L2,-4.16272577984174,0.0235837650684187,0.190354271709967
EEF1A1P5,-1.03899545992626,0.0235983666405237,0.190354271709967
SDCCAG8,-3.24017978139514,0.0236092844509653,0.190354271709967
RPS4Y2,-4.76716034294427,0.0236232024488655,0.190354271709967
PGAP2,-4.44998936795825,0.0236244997807544,0.190354271709967
RPS20P4,-1.44997217423858,0.0236340530953031,0.190354271709967
MRPS31,-1.85788272165955,0.0236882471590689,0.19052204425689
AP000797.2,-1.78633016071109,0.0237019897898035,0.19052204425689
YTHDF2,-1.34636029786304,0.0237052771856242,0.19052204425689
SNRPD2,-1.78796140280898,0.0237083408046944,0.19052204425689
STIM2,1.93989978731969,0.0237287077636418,0.19057828612872
HIKESHI,-2.5605518572848,0.0237488331947676,0.190632525914756
CACNA2D4,4.01740630136223,0.023842114340561,0.191273597095688
MFSD14C,-2.09366715332195,0.0238697027425242,0.191292703593036
UBB,-1.34080343993137,0.0238874135213492,0.191292703593036
ANAPC1,-2.30229547397956,0.0238902368318354,0.191292703593036
SIAH1,-2.97749487654289,0.023898169549607,0.191292703593036
GLMP,-4.36554013300283,0.0239166052320916,0.191332841856733
ZNF292,-0.935913018450587,0.024068310823062,0.192438496406939
TRAF3IP2,-2.75737000486957,0.0241052338381389,0.192625680267101
TRPC4AP,-1.542435673864,0.0241222168930715,0.192626345452706
CSNK2A1,-1.2545266932747,0.024132340977731,0.192626345452706
HEATR9,6.26421938191678,0.0241655849287348,0.192783759789616
IFNAR1,-1.65528096781709,0.0242239575553961,0.193139099208056
AHCY,-2.12097589956683,0.0242731432422184,0.193139099208056
IFT81,-4.900846524695,0.0242748936206088,0.193139099208056
UBA52P5,-1.70702445507678,0.0242941400222899,0.193139099208056
ANXA4,4.73534740830059,0.0242987818681596,0.193139099208056
APOOL,-2.16342870872148,0.0243036554793628,0.193139099208056
TTC33,-3.40703218152924,0.0243049624003404,0.193139099208056
GLI4,-3.37714603519198,0.024343457471757,0.193337231040317
OSBPL9,-3.20381780572234,0.0243983683359963,0.193581228366826
DPM3,-1.89104059595436,0.0244013374982595,0.193581228366826
FASLG,2.31193018504641,0.0244937107951905,0.194185026697835
VPS13C,2.12475492363669,0.024504690167607,0.194185026697835
ARRDC1-AS1,-3.29464771201547,0.0245455226679453,0.194400539530127
TOB2,2.35070951615801,0.0245972701904785,0.194677605438651
AC114491.1,-3.58180853250216,0.0246124291174552,0.194677605438651
NFATC3,1.92566809110206,0.0246214732467654,0.194677605438651
CBX1P1,-4.3435574077694,0.0246362893534758,0.194686774403077
