,logFC,pvalue,FDR
ADH5P4,-5.83401544556641,1.73723038732199e-07,2.71840039038906e-05
RPL7P9,-1.1342645716596,1.73853009655112e-07,2.71840039038906e-05
YY1,-1.92656891142381,1.75429879289979e-07,2.71840039038906e-05
RERE,-3.11247574872698,1.83600460057498e-07,2.81441737481687e-05
CBX1,-3.39941759419354,1.92218915007203e-07,2.8993980060843e-05
SMARCC1,-2.64143006291585,1.93870666298501e-07,2.8993980060843e-05
SFPQ,-1.71284303083315,1.95245656975374e-07,2.8993980060843e-05
AL590139.1,-3.80184046558842,2.02358150569459e-07,2.97403896342084e-05
ZNF736,-7.16904338335233,2.08791797295937e-07,3.03728149209274e-05
RPL7P1,-1.33090322126697,2.2041292413455e-07,3.17394610753752e-05
BTN3A3,3.32335879120571,2.22808232752669e-07,3.17635416612205e-05
DBN1,-4.42244546578276,2.26241156364715e-07,3.19336032191621e-05
DDX5,-1.33273070499213,2.51686739227708e-07,3.5176923082649e-05
PTPN4,3.08156422976871,3.48492480872764e-07,4.82340660905061e-05
PCED1B-AS1,2.73610043713611,3.83051476982033e-07,5.25075178447678e-05
BTN3A2,2.46725022242351,3.89106903697645e-07,5.28296001820345e-05
BCL9L,2.64223134360167,4.61631124437645e-07,6.20850312262553e-05
RPS9,-0.854846703631743,4.90790302842825e-07,6.53897809096011e-05
GBP1,3.4340392256497,5.01853385626028e-07,6.62446469026357e-05
EIF3FP3,-2.63593522825831,5.3801026600464e-07,7.03658197446069e-05
MIR1244-2,-4.40376299143081,5.46529738687518e-07,7.06618046630978e-05
ZNF428,-3.02355237717684,5.50186610381864e-07,7.06618046630978e-05
UQCRHL,-3.03146963716292,5.61099801177356e-07,7.1419988978432e-05
CDCA7L,-5.39863564157053,5.92340295146876e-07,7.47292322797687e-05
RNF130,-4.59924302638555,6.00238547199261e-07,7.50614099023918e-05
KHDRBS1,-1.78699783061076,6.12319460135957e-07,7.59063149886801e-05
DENND2D,2.56986924453999,6.72926477984781e-07,8.27003437081986e-05
RHBDF2,5.19820533671166,8.05861981589828e-07,9.81911829875606e-05
NDUFB4,-1.87017997694057,8.2723526706463e-07,9.96511027955282e-05
B2M,1.32243493394892,8.34612836952964e-07,9.96511027955282e-05
CD82,-3.50234275465552,8.38813996595356e-07,9.96511027955282e-05
TOP1MT,-7.74000560919031,8.46251895891825e-07,9.97038597341641e-05
GTF2IP4,-3.16976506533242,8.70457078305797e-07,0.000101715050068258
RPS7P4,-1.67501058586155,9.32116708041164e-07,0.000108034599917356
XBP1,3.25223972857627,1.04013368307232e-06,0.000118195443498844
AC008026.1,-1.27226612560396,1.0416649092182e-06,0.000118195443498844
PARP1,-1.70230378866062,1.0446566975908e-06,0.000118195443498844
ANKRD12,1.6359398883391,1.07942490967794e-06,0.000121167570963533
PRR5L,7.39478431122622,1.1148464293953e-06,0.000124166021073902
MT-ND1,-3.020842289995,1.15314680704248e-06,0.000127436130861997
IL10RA,4.47927686600655,1.24765119446923e-06,0.000136819349448872
RPL37P23,-1.57124947198032,1.37576721681576e-06,0.000149717079716988
