,logFC,p.value,FDR
PYHIN1,0.0433831623842527,1.01421936500914e-17,1.6812454962291e-15
MT-ND2,0.0793363564404484,1.74686872096278e-17,2.86245522828107e-15
RPS12,0.00572742723713921,2.86528206538048e-17,4.64175694591637e-15
JARID2,-0.0447221041307299,3.75361747785113e-17,6.01253604092649e-15
AC087500.1,-0.00268598441722137,3.9945970453263e-17,6.28023508941279e-15
MT-CO3,0.037308915084299,4.00884815612068e-17,6.28023508941279e-15
SMIM24,-0.023391167798353,4.16675834443417e-17,6.45666379981016e-15
FLNA,0.0495460222495349,7.37051962620101e-17,1.12982933108733e-14
CDT1,-0.000768416902840561,9.18726678292751e-17,1.39107212441604e-14
SNORD3C,0.0517185382139276,9.26991104233474e-17,1.39107212441604e-14
LITAF,0.041603348463024,1.2649228780934e-16,1.87841047396871e-14
GAPDHP40,-0.0458237595061334,1.69747728238247e-16,2.4947666121283e-14
DEPDC1,-0.00304090647415954,6.05251818399346e-16,8.80456114602151e-14
CDC45,-0.00350750399561904,7.10475047953098e-16,1.02308406905246e-13
GZMB,0.0165940023617225,8.52347308124688e-16,1.21510632246256e-13
TUBB,-0.0190630919731984,1.97021228110729e-15,2.7809253742045e-13
MTRNR2L12,0.0431992684823006,4.07125630701411e-15,5.69017940321502e-13
CD74,0.0616177222709598,4.32703995727646e-15,5.97008227743294e-13
DGKA,-0.0445563222556909,4.3552788780375e-15,5.97008227743294e-13
MEX3B,-0.00371611901008464,6.37689893827625e-15,8.65800678705392e-13
MIR181A1HG,-0.0268266495412506,7.65673992665015e-15,1.02975928673891e-12
LINC00861,0.0484679493188414,8.25833301885111e-15,1.10028780856768e-12
SNAPC5,-0.00018055173940468,1.26849710979971e-14,1.67441618493561e-12
MAL,-0.0247989847921063,8.01156079735949e-14,1.04782395162529e-11
RPS14,0.0545919147814838,9.41904237973446e-14,1.22070789241359e-11
TPT1,-0.03024551114493,1.02040806519447e-13,1.31053489886598e-11
IL2RB,0.0388352950071518,1.13261928831051e-13,1.4416625512638e-11
MT-ATP6,0.0275472724638292,1.18333722054081e-13,1.49288985982565e-11
RPS18,0.0300976895569743,1.64035206536165e-13,2.05130342489435e-11
EMC1,0.00185598515145402,2.11486458914162e-13,2.62169648546112e-11
ZEB2,0.0141123633391744,2.50974147468485e-13,3.08438572957821e-11
MIR1244-4,-0.0405857414142477,2.95236736812786e-13,3.59734608547272e-11
C12orf57,-0.0474552193875979,4.24263729407032e-13,5.12568112409038e-11
ARHGEF26,-0.00501381640090617,5.17832218288028e-13,6.20354294446565e-11
POLR3D,0.00126371274788137,5.73562940932075e-13,6.79455774735852e-11
AP001324.1,-0.0224874332010781,5.76698574235677e-13,6.79455774735852e-11
C11orf95,-0.0054597697115828,5.9110601348061e-13,6.90721912145867e-11
HJURP,-0.00278775720032429,6.9311580444029e-13,8.0333812260982e-11
SGO2,-0.00283140203777586,8.10020838736759e-13,9.31262667502519e-11
ACTN4,0.0457634389635354,8.76781802743835e-13,9.99952110393288e-11
MYBL2,0.000745959675933396,9.26713549584369e-13,1.04851018752974e-10
PPIAP19,-0.0417200241109026,9.52437339442421e-13,1.06912966229064e-10
RPS8,-0.0448806451352793,1.01987090909692e-12,1.13588122500669e-10
SLAMF7,0.0312017264521585,1.36089139032322e-12,1.50394322949208e-10
METTL25,-0.000435129807651495,1.38408663497729e-12,1.51781069755663e-10
TMSB10,-0.0426360652907977,1.41919290759035e-12,1.54442855653496e-10
IL18RAP,0.0368725969198169,1.44569149998303e-12,1.56134681998167e-10
PPIAP42,-0.0322427579662596,1.49433798817083e-12,1.60175055333559e-10
GIHCG,-0.0201984510871222,1.6036008875989e-12,1.70603986967238e-10
UBE2C,-0.00345753995980698,2.54819899357164e-12,2.69089813721165e-10
AIF1,-0.0331593754140827,2.61737827973232e-12,2.74362829087235e-10
EOMES,0.0264187532377302,2.84142642058318e-12,2.95674270451342e-10
HIST2H2AB,-0.00350532697566179,3.00527081764253e-12,3.10457541857333e-10
RPLP1,0.00939276898884112,3.04272109594149e-12,3.12064978012532e-10
RPL21P90,-0.00275625903995623,3.46716897845873e-12,3.53056863977912e-10
GIMAP7,0.0617486797132415,3.66371300456525e-12,3.70424770163703e-10
ZGRF1,-0.00268292245652391,3.73203265535357e-12,3.74675053061412e-10
IRS3P,-0.000944819454813208,4.04464824444166e-12,4.0322031729203e-10
PCNA,-0.00784378530422573,4.89571883844472e-12,4.84676165006028e-10
RPL28,-0.0115773043405866,5.70076869931997e-12,5.60483852258658e-10
TOX,-0.0299266530375407,6.88613560996304e-12,6.72388693531734e-10
HIPK2,-0.0288680735714063,7.03514967492395e-12,6.82265943984461e-10
ARHGAP32,-0.0111507398955137,9.74911515869966e-12,9.39076930421773e-10
AC078991.1,-0.000415909231582863,1.17321461241353e-11,1.12250654460183e-09
E2F2,5.17521870160119e-05,1.20143206099085e-11,1.1418410307657e-09
CTSW,0.042341747658885,1.47783042312565e-11,1.39522851073373e-09
GATA3,-0.0366576655602806,1.58643914675553e-11,1.48791292606229e-09
ZWINT,-0.00460108146147701,1.71866380930019e-11,1.60139027878324e-09
ACTB,-0.032997135074334,1.78253351343731e-11,1.65011673815339e-09
PRSS23,0.00467091386332659,2.11528422010074e-11,1.94551560269395e-09
KIF4A,-0.00102125189553218,2.46460325713903e-11,2.25226820729321e-09
CDK2AP1,-0.0163407895386207,2.78424810212321e-11,2.52816821298525e-09
TPX2,-0.00482918353118298,3.38671388602145e-11,3.04219072795785e-09
PTMS,0.0177181553193081,3.39301575298329e-11,3.04219072795785e-09
PREX1,0.0346355828064249,3.44565707508964e-11,3.07008045390487e-09
RORA,0.0452957722691936,3.85435106542999e-11,3.41289619806024e-09
AL445305.1,-0.000902646644181273,3.99954295347666e-11,3.51861981573375e-09
CD1B,-0.0175749241820018,4.02776246063564e-11,3.51861981573375e-09
SPINT2,-0.0266618510585441,4.04779496198327e-11,3.51861981573375e-09
GIMAP4,0.0422772123219243,4.38590474781972e-11,3.78942170211624e-09
CD52,0.045891773011977,4.44075026477498e-11,3.81369492618266e-09
MTCO3P12,0.0322791432281669,4.6007936864332e-11,3.92747992777196e-09
RPL13,0.0198436547956899,5.18753255417134e-11,4.40199191025396e-09
VIM,-0.0642483407873844,5.37017814447062e-11,4.5300153625783e-09
MTND2P28,0.0563669258757595,5.80769576216884e-11,4.87026534032229e-09
APOBEC3G,0.0366548744847955,6.90981174737007e-11,5.76060095149168e-09
MFHAS1,-0.0324274750310456,7.08188427276836e-11,5.86972919724335e-09
E2F8,-0.00167557055852135,7.13926542642478e-11,5.8830848508157e-09
HMGB1,-0.0430042087514133,7.93904029582339e-11,6.50453784237116e-09
PLEKHG3,0.0074136422909769,8.44627798361179e-11,6.88057936767827e-09
RPLP2,0.0350426621030568,1.07795467941718e-10,8.73143290327917e-09
MT-CO1,0.0202957844999693,1.17417970702972e-10,9.45712197933087e-09
S1PR5,0.015742468067201,1.19073353649876e-10,9.53657151479004e-09
UPRT,-0.00468405933474855,1.42724849155441e-10,1.13669578187708e-08
MIAT,0.0283930381651794,1.59165179009618e-10,1.26058821775617e-08
AL035456.1,-0.00517421735787031,1.79808296909644e-10,1.41621385676458e-08
IRF1,0.0393573431850751,2.2979119323026e-10,1.79994684103878e-08
AL139156.2,-0.010597775683396,2.48692954511395e-10,1.93735888498057e-08
HIST1H4C,0.00103648722446561,2.52382685691298e-10,1.95541715609519e-08
SUMO2,-0.0405431564242379,2.63783466487253e-10,2.03270113418502e-08
RPL23AP65,0.0374931236291102,2.74060998146724e-10,2.09209175708198e-08
RPS2,0.0183349848072779,2.74425616283902e-10,2.09209175708198e-08
TGFBR3,0.0241908377146065,2.7975862809836e-10,2.12140372455862e-08
ORC1,-0.00166701501858581,3.88054268583847e-10,2.92703791160387e-08
IFITM2,0.0536504346338473,3.94565058130643e-10,2.96048393090023e-08
TC2N,0.030512537229025,3.96818939096861e-10,2.96180669935333e-08
RPL13P12,0.0100418316972349,4.35455017156714e-10,3.2332535023886e-08
