,logFC,p.value,FDR
TACC3,-0.00433210219087567,0.0163282774249675,0.15076160814141
SNRPE,-0.0126737193069957,0.0163660282973566,0.150956231903356
HIST2H4B,0.00212030744715259,0.0163705341275665,0.150956231903356
NPM1,-0.0138986309959461,0.0163885870381867,0.151025014102385
RNF145,-0.0122608099129786,0.0165069839010223,0.152017805228019
TPGS2,-0.00419653442733044,0.0166368776322867,0.153115124290432
NCOR2,-0.0102604765247489,0.0166644215679112,0.153269673465898
RAP1GAP2,0.00586623961038397,0.0167813559817317,0.154160703430894
AC026356.2,-0.000464273329724325,0.0167829273095361,0.154160703430894
SHISA2,-0.00225996074195648,0.01696870138413,0.155766778449554
RPL21P111,-0.00439103427718533,0.0171379733853244,0.157219400631393
SLC35A3,-0.00308305672417176,0.0173441714679365,0.159008687104117
EPOP,0.0020605178254385,0.017356628262133,0.159020625003193
AC008549.2,0.00412959221904394,0.0173699557498586,0.159040519698127
SNHG22,0.00279485044614464,0.0174415029919939,0.159593110817628
STIL,-0.000620023545098419,0.0174736455052106,0.159784663452394
AKR7A2,-0.00134343851174041,0.0175044086612264,0.159892086704325
POLR2L,-0.00485485265813985,0.01751398537272,0.159892086704325
YWHAE,-0.0130068853703108,0.0175190403642084,0.159892086704325
RPL10P9,-0.0271721813010518,0.0175580574348978,0.160047976490553
NAP1L1,-0.0180128888231416,0.0175585743007313,0.160047976490553
RPS7P1,-0.0316428353029337,0.0175841148815175,0.160178365336047
RAB39B,0.000950246273301245,0.0176507891392967,0.160683045957736
TSPAN32,0.00752707568436059,0.0177126162600487,0.161142984941451
Z93930.2,0.00501335085633573,0.0178002220943914,0.161836713123497
ZBTB18,-0.00945236683564282,0.017815640828773,0.161873661985333
SNX1,-0.0024584688405458,0.0178394050069184,0.161986342534158
CD226,-0.00102728095821364,0.0178580935499557,0.162052820909083
ARPC5L,0.0161754843783465,0.018059876888597,0.16366788456257
RPL12,0.00459855057652179,0.0180702727949613,0.16366788456257
LSG1,-0.00109053282360887,0.0180705141906204,0.16366788456257
NDUFB6,-0.0115031656929339,0.0181824446161668,0.164577098697189
HERC6,0.00216820439131155,0.0182401638702172,0.164984906298358
PEX13,0.00106876455059528,0.0182506451481839,0.164984906298358
PIK3R1,0.00424161982923741,0.0182782939009499,0.16513013805573
PLCB1,0.00756960803234896,0.0183248189206847,0.165445610217404
SMCHD1,0.014497164455096,0.018364416064385,0.165698174312578
GLG1,-0.0077019213679433,0.0183814041389793,0.165746551173491
BRK1,-0.0117705255703253,0.0183963391813151,0.165776366225555
SP100,0.0248407226798877,0.0184292043360861,0.165967616560482
AC018475.1,-0.0135796039073384,0.0185091328395627,0.166582195556064
AXIN2,-0.00449338088498841,0.018533438932395,0.166695713198879
AC093809.1,0.00300689787143388,0.0185594721964698,0.166824612631068
RBMS2,-0.00312431942926377,0.0186110860308605,0.16718313954376
PTER,0.00145773847280667,0.0186560813092139,0.167481797949719
LIPA,0.00457070373173385,0.0186851107389259,0.167636839958545
PPIAP3,-0.00162464931579508,0.018845587461826,0.168970248336976
SPAG5,-0.00151793239939557,0.0191198518828678,0.17132156407427
AC006369.1,0.0100438135454748,0.0192063918602197,0.171988895954329
UBL5,-0.00186502010201624,0.0192488606957135,0.172260990632826
OR7E36P,-0.000839383170552055,0.0192799827256162,0.172431263322701
SRP14,-0.0159401619414065,0.0194206832916359,0.173580727903174
MSI2,-0.0265768772018141,0.0194390926986569,0.173636406962439
ATP6V1F,-0.00457804083113594,0.0194689914492997,0.173794578648226
RPS11P5,-0.0294796616762394,0.0194929647224993,0.173899690290332
ZMYM2,-0.0170243450700386,0.0195309858963379,0.174093947464694
AP002982.1,0.00427926835531287,0.0195391635762843,0.174093947464694
UBXN1,-0.00762684955078354,0.0195668322638445,0.174231580732896
RBAK,-0.0023673174649992,0.0196182987421885,0.174553378099973
PEAK1,0.00120960197743468,0.0196300762519104,0.174553378099973
EEF1A1P33,-0.000136489148885477,0.0196397038771294,0.174553378099973
SLA,0.0240147059803395,0.0196587506985967,0.174613800597629
CHCHD2P9,1.885688625768e-05,0.0197113553110543,0.174924610138099
EMC6,-0.00664068728559699,0.0197182834239566,0.174924610138099
STRIP1,-0.00686679481897341,0.0197943583490386,0.175490281482522
GNG5,-0.0132312033930262,0.0198221216472422,0.175627200872023
RPL34P33,-0.00285385628733125,0.0198576053482381,0.175832311704647
TPTEP2,-0.00337696849803789,0.0199492516066891,0.176534159469249
CYTH3,0.0063603972233525,0.0199642616727721,0.176557391071364
TCF20,-0.00784693583177177,0.0199793618654492,0.176581390423958
TBP,0.000615593523982598,0.0201794920880991,0.17823967732834
ATP5PO,-0.00653035053390997,0.0202703135111815,0.178829962867663
GOLGB1,0.00836834012617202,0.0202714099322492,0.178829962867663
PIM1,0.0127701386428825,0.0204238718967537,0.180063523661176
ARHGAP30,0.00606415213067722,0.0205430866857411,0.180928599847644
TUBB4B,-0.000436034122800346,0.0205473767644035,0.180928599847644
MAF,0.00762591513612415,0.0206171658847137,0.181431059785481
MAGT1,0.00778031173886425,0.0206435380545308,0.181504442138473
ARID5B,-0.0225899263505518,0.0206509683746215,0.181504442138473
NDUFB1P1,-0.00763747074106021,0.0206733145042741,0.18158889191185
AC023886.2,-0.00880130067937016,0.0207151190854697,0.181844050297079
WDR3,-0.00225415627471405,0.0207483182501179,0.182023399983804
NBEA,-0.00208577756827272,0.0208775392107424,0.183044402821859
STAM2,-0.00241324132214869,0.0209067163199803,0.183187552463208
RPL23AP82,0.00264165409209365,0.0209244788095421,0.183230571197071
BEX4,-0.00713013521618258,0.0211418905085439,0.185020743455987
DCP2,-0.0130939853065981,0.0212903614962686,0.186205762877794
DDX50P2,-0.000996750431660717,0.0213606403089731,0.186705878752128
AC044787.1,-0.0333002568291744,0.0213801494306519,0.186761893555989
LINC01145,0.0124382772111826,0.0214652798897499,0.187390710415355
FTL,-0.0234152796401722,0.0214920063942307,0.187509206337915
PIAS2,-0.00465690755590901,0.0215078709248775,0.187532848871592
LINC01399,-0.00545730612804055,0.0215420075851148,0.187715684678115
BLOC1S2,-0.0092600588938191,0.0216408623873062,0.188461902378398
TADA3,-0.0066909018181251,0.0216768705620765,0.18866023610071
TBC1D5,0.00833229766035806,0.0217099621290085,0.188832959189228
DCK,-0.0124712625156624,0.0217624447725658,0.189174032120548
AC099677.1,-0.0122444202561152,0.0217824854871313,0.189232853811422
LAT,-0.0111018865331056,0.0218321291136024,0.189548619149523
PRPF4,-0.00311459377516646,0.0219663516617556,0.190516908517255
AC008427.1,-0.0016101472946559,0.021970384231367,0.190516908517255
COX7B,-0.0119284702693316,0.0220209790059976,0.190708800776513
ATP9A,-0.00205246354627968,0.02203842097137,0.190708800776513
UBBP1,-0.0144179795134544,0.0220422330547447,0.190708800776513
PLXNA3,-0.0045756653335666,0.0220460229853882,0.190708800776513
SEMA4C,0.00707264234415336,0.0220840987620494,0.190922323803381
AC008813.1,-0.00149562867171083,0.0221430370675636,0.191315840263749
KCNMA1,-0.00403626910198279,0.0221621630471698,0.191365109873079
PCSK7,-0.00368703328750597,0.0222350418078183,0.191878181605483
DDOST,-0.00411330298527946,0.0222689184993693,0.192054266259533
AL031963.3,0.00214571483137315,0.0222907870942116,0.192126638945031
ACAP3,0.00117545964249013,0.0223501711897959,0.192522078840924
HOXA10,-0.00110841285362366,0.0223789406230249,0.192653488841692
AC098614.3,-0.00165070419706602,0.0225599438610362,0.194020987601599
UBE2D3,-0.00643776485277749,0.0225650110440131,0.194020987601599
LINC00324,-0.00153576046856356,0.0226037144492774,0.194236620367027
RPS17P5,0.00368468011471462,0.0226264204022059,0.194314607984245
TOMM20,-0.00127178324958558,0.0226550093863787,0.194442994468522
KLHL23,0.00010102901308747,0.0226879866804416,0.194608867699383
LAG3,0.0116025382326025,0.02270998275173,0.194680405356983
ACAP2,-0.00547105034365326,0.0227484314044143,0.194892811358972
PPP1R7,-0.0030803786191888,0.0228432454799075,0.195587572109046
FAM72C,-0.00125022068863099,0.0228654657366873,0.195624586933596
MED14,-0.00642332121559957,0.0228779057747711,0.195624586933596
RPS15AP1,-0.010495244103962,0.0228887353398736,0.195624586933596
LINC01806,-0.000990675278753703,0.023001190656728,0.196467929300369
RPS4XP7,-0.00349013226610083,0.0230278366943217,0.196577748451647
AC110749.1,-0.0217112645046389,0.0230578813615593,0.196716431292872
ZNHIT3,0.00164196452657676,0.0231382443671941,0.197250792877792
ITCH,0.00570768951204063,0.0231481885861774,0.197250792877792
PTPN7,-0.0204034437596993,0.0231918228742414,0.197504556090314
AC079944.2,0.000189573045442032,0.0233196836603181,0.198415985958773
N4BP2,-0.00990470788824347,0.0233267884393492,0.198415985958773
URGCP,-0.00294384190658878,0.0233714471133878,0.198415985958773
IVNS1ABP,-0.000888046474310287,0.0233752110607762,0.198415985958773
THEMIS2,0.00584814792974697,0.023377019678918,0.198415985958773
DSTNP2,-0.000851519765816994,0.0233823552476669,0.198415985958773
PCTP,-0.00230264732160947,0.0234183973788048,0.198512954847442
AACS,0.00148100463044528,0.0234216322989196,0.198512954847442
CPT1A,0.00733443853745466,0.023474005536622,0.198838635133739
COX6A1,-0.00817085654446408,0.0235116949865168,0.198985448268796
AC007952.4,-0.000795349114296323,0.02351925367094,0.198985448268796
MRTFA,-0.00257801859870677,0.0236457291878721,0.199933994828531
FER,-0.00243721495457478,0.0236594170367376,0.199933994828531
IDS,0.00512556814997228,0.0236884396711877,0.200060661109272
ERGIC2,0.00312524332463039,0.0237294886534999,0.200288685757428
CENPF,-0.00407617607496966,0.0237507282555423,0.200349338468054
EPHX2,-0.007670535551976,0.0238516721791401,0.200954687473253
RPL22P11,-0.00151494139293877,0.0238633868795588,0.200954687473253
CLDND2,0.00426477402004034,0.0238647787522599,0.200954687473253
CTSA,0.00817229641321203,0.0239796970757721,0.201803165001303
ST8SIA4,-0.00542509590054706,0.0240114090955663,0.201950824817931
ZNF484,0.00113770042713719,0.0240641442407774,0.202275023759742
AC005912.1,-0.000123616774126212,0.0241299409428456,0.20270573338343
CPNE7,-0.00983535609000146,0.0241438226210061,0.20270573338343
AC106795.1,-0.000517870978698717,0.0241780143037098,0.202873320726125
IL12RB2,0.0099787500097145,0.0242619505541373,0.203457862999872
RPGRIP1L,0.000182349886867526,0.0243796416742454,0.204324615936533
BCL7B,-0.00146852571907059,0.024431189305176,0.204636330631368
ATP6AP2,-0.00369070251850009,0.0245014779746339,0.205055113597808
CHD1,-0.000981146050511856,0.0245099546556302,0.205055113597808
EHD1,0.012579200779768,0.0245979010433463,0.205670191949528
MCM3,-0.00411434494956292,0.0246848238173609,0.206275995510139
DNM2,0.00533743532876154,0.0247272333666004,0.206476925989681
RPL5P17,-0.0331214615132802,0.0247378359701442,0.206476925989681
MIS18A,0.00117511606456431,0.024760154368168,0.206542282429844
CCR7,-0.00823701829283548,0.0248427921463026,0.207110435577597
RPL18AP3,0.0177201196507512,0.0249297459909598,0.207713885942211
TAP2,0.0171818879645258,0.0249471389333197,0.207737390556896
ACVR2B,-0.00200073550612773,0.0249696092090285,0.207803122524174
CSGALNACT2,-0.00117361866790031,0.0249881107639271,0.207835768407553
VPS50,0.000597963210699276,0.0250040474087509,0.20784705531146
FBXL8,-0.000820520275877501,0.0250354053950554,0.20798644482046
ARGLU1,-0.0052479988413931,0.025053693265237,0.207986709361064
ISCA2,-0.00355534598078152,0.0250770344631542,0.207986709361064
ASCL2,0.00079225161293024,0.0250792054848252,0.207986709361064
VAV3,-0.0121300367640613,0.0251171560880095,0.208180335575967
SLX4,0.00102752629164848,0.0251324878837626,0.208186372615294
RPL10AP2,-0.00841557928730028,0.0251710173407736,0.208384450180063
AC107959.1,-0.00120013512854791,0.0252306335608725,0.208756768452582
BLZF1,0.00155706903918273,0.0252806197606073,0.20904902280001
PKIG,-0.00130717710992819,0.0254001024369859,0.20991528135749
AL603882.1,-0.00264032489491952,0.0255036790246531,0.210649158850205
TMEM123,-0.016813748132379,0.0255265399974933,0.210715897049371
VEZF1,-0.00441979583697978,0.025596858234622,0.211101874835594
AC068760.1,0.00085391776400278,0.0256076812537577,0.211101874835594
RNPEPL1,0.00417381525994799,0.0256293635956051,0.211101874835594
PDLIM7,-0.00220392367970694,0.0256325298358876,0.211101874835594
MLXIP,-0.0168201815493735,0.0257189211689514,0.211691074009568
RPS10,-0.0201081375690738,0.0257572452516817,0.211769162020183
EXOSC4,-0.00118746936659327,0.0257581177709735,0.211769162020183
AC090281.1,0.00192881058838886,0.0257877868699645,0.211889255409027
DUSP5,0.0031303916058038,0.0258024514162508,0.211889255409027
FAM104A,2.8336627661398e-05,0.0258407793106272,0.212048508509905
AC016691.1,-0.00695856787396083,0.0258515928584607,0.212048508509905
SNX20,0.00278471530883909,0.025873781465969,0.212108469568059
LINC01772,0.000526708924316356,0.026012996517875,0.213127171470589
CCNDBP1,0.00816764359568118,0.026030475463807,0.213147879501454
FGFR1,-0.00789725601384518,0.0260485030910426,0.213173053998796
PFDN5,-0.0103693085578564,0.0261634650689131,0.213991025830422
SRSF1,-0.00115537518194374,0.02622806969096,0.214396422886654
F11R,-0.00344440283287101,0.0262539257388356,0.214484793887015
PICK1,-0.000467683993306802,0.0262997609896841,0.214736192822988
YBX1P2,-0.0179017859306067,0.0263655557278423,0.215093614449775
CHD9,-0.00756421648080814,0.0263815824374839,0.215093614449775
VGLL4,-0.0107476925634471,0.0263887999209215,0.215093614449775
TUBAP2,-0.00645555459189619,0.0264248882562155,0.215264689703205
MZT2B,-0.00767053284298615,0.0264665558613509,0.21539696399823
AC113398.1,-0.0123575232393245,0.0264713440603886,0.21539696399823
AC068491.3,0.000711745792637714,0.0264865808857783,0.215398001772764
PGBD4P1,-0.00261441352456604,0.0265074063466731,0.215444461162013
ANKRD54,-0.00784044002239211,0.0266483736706661,0.216466789201719
ERLEC1,-0.00201352179047373,0.0266957907258883,0.216723074407675
RPL39,-0.0131849321214033,0.0267103284044813,0.216723074407675
PRDX6,-0.00107003091405507,0.0268145456721397,0.217444916440286
FPGS,-0.00319085676238384,0.0268802002432545,0.217853402312584
SMIM29,0.00311364149094982,0.0270028362594596,0.218722973701623
YWHAB,-0.0215904020189216,0.0271190983281022,0.219476282028777
AL359643.1,-4.2462947533798e-05,0.0271266280116936,0.219476282028777
RPS28,-0.0150192748698761,0.0271831637785161,0.219808952255544
COL6A3,-0.00539824908751093,0.027329765408532,0.220869124526095
LBH,0.0133239111979744,0.0274018898042512,0.22132653883819
RPL21P16,-0.00333122958863375,0.0275508950144492,0.222404053978475
TAF3,0.00583245815633596,0.0279831173390656,0.225756116825299
DYNLRB1,-0.0111444363876122,0.0280216262456973,0.225756116825299
PRSS30P,0.00217564296215437,0.0280285270718684,0.225756116825299
CCDC152,-0.00552169662026844,0.0280294842017943,0.225756116825299
FANCD2,0.00129881982597099,0.0281349625261147,0.226408452892936
EEF1E1,-0.00053047218331179,0.0281422403567818,0.226408452892936
RPS7,-0.0241138165839211,0.0281823920019141,0.226603598634679
PTPRA,-0.00609387131456941,0.0284034981621851,0.228252688726105
DHX29,-0.00325675146864712,0.0284984991281252,0.228887100603128
HDGFL2,-5.40893005278758e-05,0.0285792995605189,0.229406809985786
RPL7AP34,-0.0177764602130642,0.0288136294176923,0.231077041988703
PFN1P8,-0.00115828419461733,0.0288292008271402,0.231077041988703
PSMB4,-0.00154653318695337,0.0288506108286523,0.231077041988703
ZNF573,-2.72645263505295e-05,0.0288522120328206,0.231077041988703
LINC002481,0.00682050781458951,0.0288861824772766,0.231219212462693
TRDJ3,-0.00262202828116704,0.0289086408118855,0.231269126495084
TTC32,-0.000170809939927,0.0289469131811184,0.231393888264967
KCNC4,0.000460674283598965,0.0289703533837467,0.231393888264967
VSIR,0.0107179400983591,0.0289886357149835,0.231393888264967
SNW1,-0.00049339934423381,0.0289891613665285,0.231393888264967
AL590139.1,-0.0111277629232099,0.0290364803079641,0.231641893268235
SLC2A14,0.00392429873705384,0.0292511876897962,0.233186276396826
LMAN2,0.00324024963894534,0.0292627839838609,0.233186276396826
SMAP1,-0.00614168346970783,0.0293007369685126,0.233358271633025
PTGDR,0.00986326471972572,0.0293698430063225,0.233778046844296
LAMP2,-0.00500478406064926,0.0294296667526534,0.234123509612627
PSMD2,-0.000822392835714049,0.0295845224690977,0.235224178650004
YIPF2,-0.00310371855288669,0.0296137218811311,0.23532509427949
RAC2,-0.0329467803253023,0.0296325507640059,0.235343534090066
COX5A,-0.0141354334333582,0.0296810898524778,0.235597782258866
CD247,0.0201280971915604,0.0297792974542361,0.236245778802221
PPP1R9B,0.00579611931603427,0.0298179891180457,0.236421163997141
TGFBRAP1,-0.00154551997255437,0.0299273908578259,0.237095418420604
MAPK1,0.0075553971190365,0.0299457121030167,0.237095418420604
ACAD9,0.00136147586247531,0.0299529214769576,0.237095418420604
AFF4,-0.0145961890060485,0.0301022090886333,0.238144890548033
PRKCB,-0.0150872904171514,0.030247521513315,0.239161767439722
LDHB,-0.0230883833048289,0.0302862860858235,0.239335529068459
PXDN,-0.00502646852547483,0.030369084082882,0.239730457179935
INPP5D,0.0166183875764718,0.0303864446810588,0.239730457179935
SLC2A3,0.0169753225952902,0.0304013774061258,0.239730457179935
HSD17B11,0.00212433676640853,0.0304035259947617,0.239730457179935
RINL,0.00492348164706789,0.0304210522892712,0.23973605386172
SNHG19,-0.00682662926737172,0.0305295271561596,0.240457977424426
ZBTB1,-0.00783080583877916,0.0305562088875029,0.240535236830614
KDM1A,-0.00622140209674101,0.0307054106398451,0.241398519060687
EEF1GP4,-0.000942756606358705,0.0307390795675869,0.241398519060687
SH3KBP1,0.00979030143389078,0.0307906344054738,0.241398519060687
PPAT,-0.00195788650970368,0.0307907278866345,0.241398519060687
TIMM8B,-0.00904115323992254,0.0307936949864465,0.241398519060687
AL591846.1,0.0172894706555875,0.0308001330492497,0.241398519060687
AL358176.3,-0.000559975927265025,0.0308051710650996,0.241398519060687
LSP1P4,-0.00183709652925251,0.0308147613405196,0.241398519060687
HNRNPA1P4,-0.0118596654832757,0.0308182733368722,0.241398519060687
COX6CP2,-0.000909001942334387,0.0308948696478099,0.241697144608887
UXT,-0.0134858691145732,0.0308952511489317,0.241697144608887
BDH2P1,-0.00364084807373348,0.0309072597237655,0.241697144608887
CD7,-0.0166287409671694,0.0309272687338749,0.241721021420022
VPS36,0.00611894813969492,0.0310890064522898,0.242744151108944
CCDC106,-0.00297639937108689,0.0311057265255035,0.242744151108944
NT5DC2,-0.000350245933264161,0.0311092567393406,0.242744151108944
SPRY4,-0.00105221788142272,0.0311429779722503,0.242874340247484
PAK2,-0.0104045563501399,0.0311916960451084,0.243071492084206
TOB2,0.00848498880373381,0.0312023590427958,0.243071492084206
MICA,-0.00366016107677298,0.0313356724680366,0.243976704917712
AC010468.1,-0.0225431585654273,0.0314050918996895,0.244383728232519
XBP1,0.0187252657423615,0.0314240853030925,0.244398123339272
C19orf12,2.04370241577474e-05,0.0314735212014385,0.244649137539644
CASP8,0.0124333686378334,0.0314941656883279,0.244676199483816
SRSF10,-0.0116440609444014,0.0315347980124066,0.244739313907719
RPL5P9,-0.0133113894836997,0.0315366245544669,0.244739313907719
RPL7AP31,-0.00221562651402742,0.0315569975879233,0.244764177156385
AP000797.1,-0.0226893490144488,0.0316792378345773,0.245578691990068
AP003717.4,0.00192478427407033,0.0317157645665379,0.245728228076394
PTGES3,0.00071343734785724,0.0318448923844826,0.246594669110909
ZNRF1,-0.0145500254382208,0.0319130722705159,0.246988468126208
CCDC28B,-0.00478853973827053,0.0320506473714481,0.247852094460047
AC129492.5,-0.0105034355900468,0.0320594319714034,0.247852094460047
AL109914.1,-0.00353672890714402,0.0323187335829491,0.249614837998191
GTPBP6,-0.00172759106395623,0.0323274461475118,0.249614837998191
CCHCR1,-0.00112629679429543,0.0323399695414323,0.249614837998191
HNRNPA1P8,-0.00492976540693102,0.0324333484443243,0.250200116570502
HMGB1P1,-0.0147683914161775,0.0324770244409971,0.250370952681848
FBLN2,-0.00464054636673166,0.0324923474264834,0.250370952681848
AC104758.1,-0.00362325413168781,0.032508181356208,0.250370952681848
NAPG,-0.00310543788227372,0.0325480842014967,0.250542920289707
USP22,-0.0116396897402048,0.0325706838407982,0.25058158059062
SLC25A33,-0.00660904054181815,0.0325998837090829,0.250670950462075
TMSB4XP6,-0.0115348522888066,0.0326910616124638,0.251236536036272
H2AFJ,-0.00380466074403436,0.0328310896146575,0.252124461185925
ABHD17B,-0.00953887409312562,0.0328419700071733,0.252124461185925
CDC37L1,-0.000725643983716461,0.0328599392708805,0.252126638452999
AL451081.2,-0.00438975834938164,0.0329305335607948,0.252532375708817
AC006927.1,0.000319806194524078,0.0329805269547722,0.252779780788835
RAD54L2,-0.00513757775043073,0.033017601730033,0.25292795822856
C9orf78,-0.00011384355490764,0.0330594738052106,0.253112705997359
AC116049.1,0.0159281077751689,0.0331397797851358,0.253479755674012
F2R,0.00705130405478022,0.0331429759102383,0.253479755674012
SYTL2,0.0165469765993728,0.0332053210475396,0.253820405819691
PDLIM5,-0.000605347052208159,0.0332518056670418,0.253920520916356
SORD,-0.00733325630548764,0.0332540412844302,0.253920520916356
STAM,-0.00429113616776754,0.0333049452877816,0.254173072817246
HAUS1,-0.00199346136638979,0.0333239716883199,0.254182204595339
DHRS7,0.0121682861431419,0.0333505901169444,0.254249204656235
ATP5MC2,-0.0172144614591706,0.0335100208540483,0.255328090483866
IKBKG,0.0001870852427553,0.0335928709379478,0.255822632527449
KAT6A,-0.000604392719651267,0.0336910554364483,0.256433361613458
RPS24,0.0045813387451704,0.0337750042094536,0.256935144082162
AC005255.1,-0.000729431092104211,0.0338102791825974,0.257066314681125
ZNF346,-0.00509341916642729,0.033987280227844,0.258048619840505
PUM1,-0.0135051329551945,0.033993237824314,0.258048619840505
PGAM1,-0.00303355012589394,0.0339937786237702,0.258048619840505
LASP1,-0.00623063663508677,0.0340269203103102,0.258138125178329
AC114801.3,-0.00525026948318984,0.034041784184572,0.258138125178329
HCP5,0.0100495033083729,0.0341362469899844,0.258716819292513
RPL15P20,-0.00865027334538785,0.0342185759068629,0.259166764199622
KIAA0319L,-0.0132687989291281,0.0342319736944366,0.259166764199622
TPGS1,-0.0021119126845614,0.0342892377484246,0.259462512389353
AC241952.1,0.0050237815542602,0.0343133853327216,0.259507491407575
MFGE8,-0.00818176777042831,0.0343401733416703,0.259572381314344
SCAI,-0.0111738298202688,0.0343867926930197,0.259696962539587
UCP2,-0.00250855005265442,0.0344153491581317,0.259696962539587
CSNK1G1,-0.00368545990620576,0.0344288656018316,0.259696962539587
TNRC6A,-0.00545352317511901,0.0344295215488089,0.259696962539587
GOLGA7,-0.00460537730320516,0.0346648771954049,0.261333944631249
RPSAP15,-0.00176887078488962,0.0347611136631768,0.261920949462076
SLC25A12,0.000171535070576942,0.0348125519981125,0.262169963700524
AC083899.1,-0.00251307387111458,0.0348316975192126,0.262175649331518
CEP78,0.00326082539830711,0.0348716569371207,0.262337910973928
HLA-G,0.00807348083879439,0.0349230258519662,0.262585789317316
DOK2,-0.00479125208960552,0.0350346004450491,0.26317040720033
VAMP2,0.0139196655787333,0.0350524306025605,0.26317040720033
KLHL22,-0.000131118430254388,0.0350655825583369,0.26317040720033
PTMAP10,-0.00728578394268012,0.035074619365925,0.26317040720033
AL450998.1,-0.0251081818978096,0.035117571192624,0.263354074130483
GOLGA8F,-4.74402255345671e-05,0.0351450410029224,0.263421506066068
AL663058.1,-0.00319473376854168,0.035170891716129,0.263476737942793
SBK1,-0.01156119390669,0.0352593547088825,0.263900884106494
AC016957.2,0.00337331888825541,0.0352645331244999,0.263900884106494
CBL,-0.00865439700125368,0.0353023762255045,0.264045475063374
AC024293.1,-0.0203873601387749,0.0353602499529855,0.264339655652733
RPS7P10,-0.0309341925393986,0.0354087038007043,0.264563145378847
AL512506.2,0.00173846898082413,0.0355389619649386,0.265397297942465
COTL1,0.0186392163525636,0.035650347294736,0.265942400247226
HIST1H2BF,5.48203196813311e-05,0.0356522746105431,0.265942400247226
PTPRC,-0.00559706433774065,0.0356679201229445,0.265942400247226
JUN,0.0227024418822194,0.0357174884620008,0.266172773400044
KIF21A,0.00818795588773488,0.0357929526734721,0.266595785429999
ACD,0.00283664025435472,0.0358364676897812,0.266780513517243
KATNAL1,-0.000480182332895761,0.0358776615649356,0.26694777832449
LANCL1,0.00141258824703728,0.0360655337724961,0.268024462628317
CENPO,-0.00208814726256151,0.0360710334148281,0.268024462628317
AC099789.1,0.000891969285844794,0.0360787699062668,0.268024462628317
CLPB,-0.000195677721392598,0.0361440330974203,0.268369445748346
PHF14,-0.0152047544506347,0.0361808785386878,0.268503177744681
TESC,-0.000854608442500197,0.0362096241036071,0.268576691582218
AC024940.2,-0.000709572589098566,0.0363402099056421,0.269358496780492
EBPL,0.00252790430599076,0.0363528162041012,0.269358496780492
SNAPC3,-0.00250024720758554,0.0364026127978557,0.269587349634406
ATP5F1AP3,-0.00247034326873068,0.0364757077831411,0.269988416488297
C16orf91,0.00207221263319142,0.0365833356608416,0.270627465349174
PLSCR1,-0.00219772680307149,0.036611044736548,0.270627465349174
ASF1B,0.000106855877450576,0.0366189941539392,0.270627465349174
NOL4L,-0.00285142540826244,0.0366499048018707,0.270647718560409
CDYL,8.43648647328314e-05,0.0366597043027602,0.270647718560409
TERF2IP,-0.0090017380858341,0.036711130190431,0.270887097305789
CDK4,0.00137107772269418,0.036812325114997,0.271231287773873
VPS51,-0.00118771792845219,0.0368142626659984,0.271231287773873
UQCRHL,-0.0138195984153754,0.0368258181974319,0.271231287773873
FANCI,-0.000441158891013471,0.0368338785865754,0.271231287773873
TRAPPC1,-0.00356098925202899,0.037132456590239,0.273288746076637
CNOT1,0.0026181051285499,0.0371686503832604,0.273413973097915
CD46,0.0025161372740881,0.0372053237988514,0.273542597254474
AIG1,-0.000509890313337394,0.0372846590433474,0.273984587279361
LRRC4,-0.00563786473392599,0.0373046537868036,0.273990285618069
ELAVL1,-0.00820702119996689,0.0374273744817119,0.27475007755473
GTF3C1,0.00681094933257098,0.0374923411124457,0.275085339628938
RBBP4,-0.00978395919483122,0.0376153901782697,0.275846194640645
TAGAP,0.0139966247121294,0.0376515070679494,0.275969092421947
MCC,-0.000839880168284989,0.0376927277274103,0.276129253073978
MAP11,-0.00339168507352796,0.0377168936021359,0.276153910089013
TIA1,-0.0118127141180957,0.0377348356378646,0.276153910089013
CBX2,-0.00206712588678723,0.0379376833579587,0.277495953797362
Z74021.1,0.00048165300644467,0.0379668684032266,0.277567013310974
ACP1,-0.00659213481419424,0.0379994899736314,0.277663110745305
MAFK,-0.00220248648118919,0.0381519830471711,0.278401601437875
AL158823.1,-0.0223817818628184,0.0381761397438046,0.278401601437875
ECPAS,0.00275436030203729,0.0381801696807787,0.278401601437875
PER2,-0.00122887378364437,0.0381834169587729,0.278401601437875
AC110285.6,-0.00257806002213623,0.0381981995238835,0.278401601437875
AC092620.1,0.00145349517044567,0.038221275174497,0.278427439390715
PELI2,-0.00602768343856363,0.0382489020749232,0.278486388141014
MRPL20,0.00410117733776955,0.0382859742236293,0.278528925823682
RETSAT,0.00165541654360546,0.0382938197681268,0.278528925823682
ZSCAN30,-0.00432704668796614,0.03842488521903,0.279339706110399
DYNC1LI1,-0.00264513750074159,0.0385364164735544,0.280007723367478
AC090589.1,-0.026085732394235,0.0387205474469558,0.281202304841468
SON,0.00508522862201203,0.0388620022023709,0.28208589785998
ITPRIP,-0.000907484442695377,0.0388975263136357,0.282200068767018
SURF2,-0.00193362793873882,0.0389479788559761,0.282422373637231
CPD,0.00876296243095915,0.0391390586400847,0.283663660382841
UBC,0.0198825565765987,0.0391750528770687,0.283780261085107
IFI44L,0.00798453148314557,0.0392559330180245,0.284221727326032
